     Epoch   gpu_mem      GIoU       obj       cls     total   targets  img_size         p         R     mAP@.5   mAP@.5:.95
      0/29     8.64G    0.1036   0.03374         0    0.1374       144       640         0         0  0.0006697    0.0001455   
      1/29      8.8G   0.09507   0.03502         0    0.1301       170       640         0         0   0.001159    0.0002148    
      2/29     8.81G    0.0914   0.03689         0    0.1283       160       640         0         0   0.002185    0.0004095   
      3/29     8.81G    0.0857   0.03574         0    0.1214       138       640    0.1251    0.0839    0.03109     0.007407   
      4/29     8.81G   0.07814   0.03332         0    0.1115       119       640   0.07875    0.3878     0.1075      0.02763   
      5/29     8.81G   0.07122   0.03231         0    0.1035       171       640   0.09968    0.5998     0.3024      0.09693  
      6/29     8.81G   0.06961   0.03024         0   0.09985       151       640   0.05289    0.6159     0.2017      0.05765   
      7/29     8.81G   0.06686   0.02995         0   0.09681       183       640    0.2938    0.5606     0.4272       0.1541   
      8/29     8.81G   0.06352   0.02925         0   0.09277       173       640    0.2357    0.7011     0.5235       0.2072   
      9/29     8.81G   0.06141   0.02783         0   0.08924       157       640    0.2491    0.6445     0.4578       0.1833   
     10/29     8.81G   0.05805   0.02775         0    0.0858       168       640    0.3264    0.7011     0.5942       0.2542   
     11/29     8.81G   0.05697   0.02621         0   0.08318       159       640    0.1968    0.8173     0.6319         0.26   
     12/29     8.81G   0.05466   0.02621         0   0.08087       152       640    0.5851    0.5774     0.5906       0.2307   
     13/29     8.81G   0.05381   0.02574         0   0.07956       155       640    0.3222    0.7968     0.6728       0.3019   
     14/29     8.81G    0.0522   0.02474         0   0.07694       181       640    0.1182    0.8266     0.5781       0.2591   
     15/29     8.81G   0.05025   0.02446         0   0.07471       130       640     0.387    0.8198     0.7417       0.3576   
     16/29     8.81G   0.04919   0.02362         0   0.07281       175       640    0.4513    0.7874     0.7292       0.3498   
     17/29     8.81G   0.04834   0.02348         0   0.07181       164       640    0.4773    0.8129     0.7648       0.3783   
     18/29     8.81G   0.04722   0.02239         0   0.06961       147       640     0.348    0.8757     0.7832       0.3777   
     19/29     8.81G   0.04638   0.02221         0   0.06859       147       640    0.4225    0.8446     0.7754       0.3852   
     20/29     8.81G   0.04569   0.02262         0   0.06831       132       640     0.572    0.8104     0.7868       0.3859   
     21/29     8.81G   0.04518   0.02204         0   0.06722       119       640    0.4696    0.8484     0.7998       0.4014    
     22/29     8.81G   0.04427   0.02198         0   0.06625       147       640    0.4339    0.8589     0.8002        0.391    
     23/29     8.81G   0.04397   0.02167         0   0.06564       157       640    0.4812    0.8664     0.8162        0.426   
     24/29     8.81G   0.04341   0.02073         0   0.06414       137       640    0.5455     0.839     0.8116       0.4129  
     25/29     8.81G   0.04306   0.02069         0   0.06374       153       640     0.412    0.8819     0.8133       0.4161  
     26/29     8.81G   0.04314   0.02085         0     0.064       132       640    0.4581    0.8799     0.8227       0.4358  
     27/29     8.81G   0.04263   0.02139         0   0.06402       178       640    0.4495    0.8794      0.822        0.436  
     28/29     8.81G   0.04246   0.02063         0   0.06309       159       640    0.4865    0.8776     0.8277       0.4266  
     29/29     8.81G   0.04198   0.02042         0    0.0624       150       640    0.4488    0.8863     0.8252       0.4362  
